Score %,Company name,Website URL,Gehaald punten,Mogelijke Punten,Uitleg score,Keyword,Date,Wat voor producten ze verkopen,Aantal SKU's,Kleinste product naam,Kleinste product URL,Kleinste product afmetingen ,Kleinste product gewicht,Grootste product naam,Grootste product URL,Grootste product afemtingen,Grootste product gewicht,Lichtste product naam,Lichtste product URL,Lichtste product afemtingen,Lichtste product gewicht,Zwaarste product naam,Zwaarste product URL,Zwaarste product afmetingen,Zwaarste product gewicht,Retour adress,Cutoff tijd,Cutoff Note,Waar ze hun producten naartoe sturen,Instagram,Facebook,Youtube,Tiktok,X,Linked In,Status Product/Bedrijfs Informatie,Google Rating,Google Total Reviews,Recent Review 1,Recent Review 2,Recent Review 3,Google Business Adress,Google Place ID,Status Google Reviews,TrustPilot Rating,TrustPilot Total Reviews,TrustPilot Recent Review 1,TrustPilot Recent Review 2,TrustPilot Recent Review 3,Date,TrustPilot URL,Status TrustPilot,Has Meta Ads,Meta active ads count,Meta Platforms,Meta Last ad run,Meta Ads runned last 30 days?,Meta Likes count,Meta Libary URL,Meta Page ID,Google has ads,Google Page ID,Google Latest ad,Ads runned last 30 days?,Status,Contact 1 First Name,Contact 1 Last Name,Contact 1 Position,Contact 1 Linked-In,Contact 2 First Name,Contact 2 Last Name,Contact 2 Position,Contact 2 Linked-In,Contact 3 First Name,Contact 3 Last Name,Contact 3 Position,Contact 3 Linked-In,Contact 4 First Name,Contact 4 Last Name,Contact 4 Position,Contact 4 Linked-In,Contact 5 First Name,Contact 5 Last Name,Contact 5 Position,Contact 5 Linked-In
71%,CollaVita,https://collavita.eu/ ,58,82,"CollaVita scoorde hoog dankzij hun uitstekende productafmetingen en gewicht, evenals positieve Google-beoordelingen. Echter, het ontbreken van Google Ads en gegevens over TP-beoordelingen en -recensies beïnvloedde hun score negatief.",Colageen,2026-03-13 13:13:59,Voedingssupplementen op basis van collageen,9,FlexiGlow,https://collavita.eu/nl/products/flexiglow/,5 x 5 x 5mm,6g,ActiveZen,https://collavita.eu/nl/products/activezen/,100 x 50 x 50mm,150g,FlexiGlow,https://collavita.eu/nl/products/flexiglow/,5 x 5 x 5mm,6g,Beauty Source 60 days,https://collavita.eu/nl/products/beauty-source/,100 x 50 x 50mm,165g,"Fritz Vinckelaan 97, 8450, Bredene, Belgium",,Bestellingen van vrijdag 13:00 tot zondag 23:59 worden op maandag verwerkt,"België
Nederland
Luxemburg
Duitsland
Frankrijk
Oostenrijk
Rest van Europa",https://www.instagram.com/collavitagroup,https://www.facebook.com/collavitagroup,,,,https://www.linkedin.com/company/collavita/,Done,5,7,5/5 - Светлана Плетнёва (een jaar geleden): Ik wil mijn ervaring met het gebruik van collageen en de positieve invloed ervan op mijn lichaam delen. Na het beginnen met het innemen van collageen merkte ik aanzienlijke veranderingen in mijn toestand. 's Ochtends is het gemakkelijker om uit bed t,"5/5 - Kristsina (een jaar geleden): Collageen Flexi Glow is gewoon Wauw. Ik had niet gedacht dat het zo zou werken. Ik kocht het voor herstel na de bevalling, om de huid een beetje te verstevigen en het lichaam te helpen, en meisjes, het is gebeurd: mijn haar begon te groeien, viel min","5/5 - Ferdinand (2 jaar geleden): Na een maand gebruik merkte ik dat mijn huid gladder en steviger werd. Ik koop het bij de apotheek bij mij in de buurt, maar vond hun website online, daar is ook wat meer informatie te vinden over hoe het werkt en wat de voordelen zijn.","Fritz Vinckelaan 97, 8450 Bredene, België",ChIJ99TND22p3EcRITVBJrr9DGs,Complete,,,,,,,https://www.trustpilot.com/review/collavita.eu,Failed,TRUE,108,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",2026-03-06,Yes,883,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=110447944727156,110447944727156,TRUE,AR14206791271502053377,2025-10-08,No,2,Ief,Vancouillie,Owner,https://www.linkedin.com/in/iefvancouillie/,Inga,Vancouillie,Co-Founder,https://www.linkedin.com/in/inga-vancouillie-0b65a484,,,,,,,,,,,,
39%,Puur Mieke,https://www.puurmieke.nl/ ,37,95,"Puur Mieke scoorde laag vanwege een beperkt aantal SKU's en grote productafmetingen, wat logistieke uitdagingen kan opleveren. Hun sterke punten zijn uitstekende Google-beoordelingen en actieve advertentiecampagnes. Het ontbreken van Trustpilot-gegevens en een vroege cutoff-tijd beïnvloeden de score negatief.",Colageen,2026-03-13 13:14:08,"Biologische voeding, supplementen en verzorging",253,Toiletblok - Clean Cotton - 1 blok,https://www.puurmieke.nl/toilet-tapes-toiletblok-clean-cotton-1-blok.html,,18g,Airfryer - WM-2511 AF - 11L - Keramisch en gifvrij,https://www.puurmieke.nl/airfryer-wm-2511-af-11l.html,257 x 403 x 300mm,,Toiletblok - Clean Cotton - 1 blok,https://www.puurmieke.nl/toilet-tapes-toiletblok-clean-cotton-1-blok.html,,18g,"Multicooker / Slowcooker - Gietijzer - Zwart - 5,5l",https://www.puurmieke.nl/multicooker-gietijzer.html,,9700g,"Schutboom 2-B, 5427CG, Boekel, Nederland",22:00,,"Nederland
België
Duitsland
Frankrijk
Hongarije
Italië
Luxemburg
Oostenrijk
Polen
Portugal
Spanje
Zweden",,,,,https://twitter.com/puur_mieke,,Done,4.7,110,"5/5 - John Smeets (3 weken geleden): Top producten zonder toegevoegde E nrs en andere ongewenste rommel,alles door Mieke eerlijk zelf gecontroleerd dat waardeer ik ,als consument wil je eerlijke en betrouwbare producten.deze krijg je 100% bij Puur Mieke  toppie","5/5 - M.C. K. (een maand geleden): Supersnelle verzending, volgende dag al in huis. Goede producten, goed verpakt, fijn chatcontact en zeer goede service, 2e bestelling gedaan en inmiddels een vertrouwd adresje!!",5/5 - Tharaka Kasturiarachchi (een maand geleden): De bestelling was binnen 3 dagen bezorgd en zeer tevreden.,"Schutboom 2b, 5427 CG Boekel, Nederland",ChIJLbYH5zEZx0cRnmXrLBWmUN0,Complete,3.3,,"5/5 - I ordered two types of collagen supplies from this website. It was really fast and I like the packaging + free sample. Would definitely order from them again.  - April 27, 2020",/5 -  - ,/5 -  - ,,https://www.trustpilot.com/review/puurmieke.nl,Complete,TRUE,67,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",2026-03-06,Yes,22127,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=468934269830334,468934269830334,TRUE,AR11556806603172741121,2026-03-06,Yes,0,,,,,,,,,,,,,,,,,,,,
63%,Nutribites,https://www.nutribites.nl/ ,52,82,"Nutribites scoorde hoog op SKU-aantal en klantbeoordelingen, wat hun potentieel als klant versterkt. Echter, het ontbreken van gegevens over de grootste productgrootte en het gebrek aan Meta-advertenties verzwakte hun score aanzienlijk.",Colageen,2026-03-13 13:14:15,Zuivere voedingssupplementen,40,Nutribites Vitamine D+K druppels,https://www.nutribites.nl/product/vitamine-d-k/,,30g,Whey Naturel + Creatine Combideal,https://www.nutribites.nl/product/whey-naturel-creatine-combideal/,,,Nutribites Vitamine D+K druppels,https://www.nutribites.nl/product/vitamine-d-k/,,30g,Whey Naturel + Creatine Combideal,https://www.nutribites.nl/product/whey-naturel-creatine-combideal/,,1280g,"Krombraak 4, 4906 CR, Oosterhout, Nederland",23:00,,"Nederland
België",,https://www.facebook.com/nutribitesnl,,,,,Done,4.6,64,"1/5 - K (3 maanden geleden): Een paar keer de Green Juice besteld, de smaak blijkt steeds aangepast te worden en dan niet echt in positieve zin, smaakt nu naar tandpasta, aanpassing word ook niet gemeld bij het product. Voor al zo'n veels te duur product lijkt mij dat het produc",5/5 - Kitty Ockhuijsen (10 maanden geleden): Wat een goede service van Nutribites. Ik was zelf vergeten mijn eerder bestelde pakketje op te halen bij het lokale afhaalpunt waardoor het inmiddels weer was teruggestuurd. Nadat ik daar achter kwam heb ik gebeld met de klantenservice. Binnen een da,"4/5 - Petra Cools (10 maanden geleden): Eerder een recensie gegeven met 3 sterren omdat ik wel tevreden was maar rode vlekjes kreeg in mijn gezicht van het collageenpoeder. Naar aanleiding daarvan heeft Nutribites een passend voorstel gedaan, geheel naar tevredenheid. 5 sterren kan ik dus ","Sarphatistraat 54H, 1018 GP Amsterdam, Nederland",ChIJjxsAbjIJxkcRJB3vpPh0kjk,Complete,4.5,42,"5/5 - Ik wilde Omega 3 Visolie proberen, in het verleden andere merken geprobeerd waarvan ik de nasmaak van de visolie bleef houden in mijn mond. Vandaar de Nurtibites Omega 3 geprobeerd omdat ze goed staan aangeschreven + precies de goede verhoudingen. Helaas ook met deze softgels geen verbetering. Contact gezocht met de klantenservice en kreeg direct een prettig antwoord terug met een advies of ik vrijblijvend de Algenolie softgels wilde proberen. Twee dagen later werd er al een pot Algenolie geleverd! Maar helaas ook met deze variant blijf ik een nasmaak houden. Ik wil Nutribites completeren met hun geweldige service en meedenken. Zeker in deze tijd waar dat absoluut niet vanzelfsprekend meer is.  - November 28, 2025","1/5 - Mijn review (die positief was) over de naturel collageen werd wel geplaatst, maar de review over de framboos smaak (die minder positief was) wordt niet geplaatst.. Ik heb ze beide na elkaar geschreven dus hier zit geen vertraging in. Dit komt niet echt betrouwbaar over en het doet vermoeden dat Nutribites selectief is in het plaatsen van reviews. - January 3, 2026","4/5 - Actieve klantenservice - December 5, 2025",,https://www.trustpilot.com/review/nutribites.nl,Complete,FALSE,0,,,,,,151099668653561,TRUE,AR01171609010390958081,2026-03-06,Yes,0 Prospect Found,,,,,,,,,,,,,,,,,,,,
52%,Dieetwebshop,https://www.dieetwebshop.nl/ ,40,77,"Dieetwebshop scoorde goed op het gebruik van Meta- en Google-advertenties, wat hun online zichtbaarheid versterkt. Echter, het ontbreken van gegevens over de grootste productafmetingen en lage klantbeoordelingen op Trustpilot beïnvloeden hun score negatief.",Colageen,2026-03-13 13:14:22,Dieetproducten en supplementen,194,SWEET-SWITCH® | Snoep Confetti,https://www.dieetwebshop.nl/sweet-switch-confetti-tube-22g,,22g,2BSlim | Mix Caloriearme Sauzen | Voordeelpakket,https://www.dieetwebshop.nl/2bslim-voordeelpakket,,,SWEET-SWITCH® | Snoep Confetti,https://www.dieetwebshop.nl/sweet-switch-confetti-tube-22g,,22g,Foodfunc Erythritol,https://www.dieetwebshop.nl/foodfunc-erythritol,,1000g,"null, null, null, null",22:00,Bestel op werkdagen voor 22:00 voor levering de volgende dag.,"Nederland
België
Frankrijk
Duitsland
Luxemburg",https://www.instagram.com/dieetwebshop.nl/,,,,,,Done,3.7,37,"5/5 - Els Van Roy (een maand geleden): Altijd snelle levering en heel veel keuze op de site. Als er eens iets niet in orde is, wordt dit correct opgelost. Zeer tevreden over de communicatie met de aftersales.","5/5 - Aartje Blankestijn (een maand geleden): Bij mijn bestelling miste 1 artikel, hiervoor een mail gestuurd waarop de volgende dag al werd gereageerd. In de eerste plaats kreeg ik excuses.
Verder netjes geholpen, de waarde van het artikel wat vergeten was in de bestelling werd aan punten bij g","5/5 - Wil Heuveling (4 maanden geleden): Er zat een verkeerd item bij mijn bestelling.
Hierover gemaild en het werd direct opgelost.
Item retour gestuurd en mijn bestelde item is onderweg.
Top, zonder gedoe.
Geweldig, ben hier echt blij mee.
Ben anders gewend.","Hoevenweg 13, 5652 AX Eindhoven, Nederland",ChIJ_48No6DZxkcRaBJkJkrHqGc,Complete,2.9,,"2/5 - I prefer to order bigger amounts at a time (a box of bars or so) to my one person household to have the best price. However, I get my products with a best-before-date in one month or so. This has happened now more than once (obviously by now I have learnt my lesson). Only order as small amount you can to save at least with your delivery costs…  - October 26, 2024","1/5 - Their email marketing is extremely annoying, frequent and difficult to opt out. I ordered only once, from Bol.com, it took me a month to understand how to unsubscribe. The option should be more straight forward and not take 10 steps, and only in dutch. - April 3, 2024","5/5 - I often buy from this webshop and I like that they have those offers on items that have an upcoming best before date. They are the same, I believe, of protiplan which is a well done website offering a protein/keto diet. I did follow it and it works. It’s the same like power slim but this is much better as I didn’t have to go and see a nutritionist every week. So for me 5 starts to both. I always got fast delivery and no issues with the products delivered. - November 12, 2022",,https://www.trustpilot.com/review/dieetwebshop.nl,Complete,TRUE,58,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",2026-03-06,Yes,10891,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=494107180625588,494107180625588,TRUE,AR07542183917210566657,2026-03-06,Yes,No Prospects,,,,,,,,,,,,,,,,,,,,
50%,Puur Nordic,https://puurnordic.com/ ,32,64,"Puur Nordic scoorde goed op Google Rating en adverteert actief via Google Ads, wat hun zichtbaarheid vergroot. Echter, het ontbreken van gegevens over de grootste productgrootte en Trustpilot-beoordelingen, evenals het niet adverteren op Meta, heeft hun score aanzienlijk verlaagd.",Colageen,2026-03-13 13:14:29,"Superfoods, supplementen, natuurlijke cosmetica, bessen, paddenstoelen",134,Biologische Lion’s Mane Mushroom Tincture – Hericium Erinaceus Extract,https://puurnordic.com/product/biologisch/biologische-lions-mane-mushroom-tincture-hericium-erinaceus-extract/,50ml,,Puur Nordic Paddenstoel Extract Combideal,https://puurnordic.com/product/puur-nordic/puur-nordic-paddenstoel-extract-combideal/,300ml,,Wildcrafted Reindeer Organ Mix Carnivore,https://puurnordic.com/product/superfoods/wildcrafted-reindeer-organ-mix-carnivore/,,50g,Biologische Cashewnoten 1kg,https://puurnordic.com/product/biologisch/biologische-cashewnoten-1kg/,,1000g,"Herenwal 131, 8441BE, Heerenveen, Nederland",,,,,https://www.facebook.com/puurnordicbenelux/?locale=nl_NL,,,,,Done,4,48,"1/5 - Succeed BVBA (3 weken geleden): Ontevreden, al 3 mails gestuurd wanneer mijn bestelling binnenkomt, geen enkele reactie.",1/5 - Quint Waning (2 maanden geleden): Product niet geleverd. Kwijt geraakt volgens de leverancier. Moet er zelf achteraan om m’n geld terug te krijgen. 👎,"5/5 - Paul Smit (2 maanden geleden): Snelle levering en puur natuur bosbessen poeder, zal zeker binnenkort nog een wat bestellen. Alles correct en goed verpakt. Ik wordt hier happy van.","Herenwal 131, 8441 BE Heerenveen, Nederland",ChIJmy9-bqtfyEcR5X8Hdjbt8WI,Complete,,,/5 -   - ,/5 -  - ,/5 -  - ,,https://www.trustpilot.com/review/puurnordic.com,Complete,FALSE,0,,,,,,1.7666E+15,TRUE,AR07690223124847001601,2026-03-06,Yes, Prospect Found,,,,,,,,,,,,,,,,,,,,
82%,Skin for Skin,https://skinforskin.nl/ ,59,72,"Skin for Skin scoorde hoog dankzij hun uitgebreide SKU-aanbod en actieve advertentiestrategieën. Echter, het gebrek aan gegevens over de grootste productafmetingen en TP-beoordelingen beïnvloedde hun score negatief. Hun productgewicht en aantal Google-reviews lieten ook ruimte voor verbetering.",Colageen,2026-03-13 13:14:37,Collageen- en huidverzorgingsproducten,45,Sample Set,https://skinforskin.nl/products/sample-set,45 x 45 x 30mm,50g,The perfect wash trio set XXL,https://skinforskin.nl/products/the-perfect-wash-trio-set-xxl,"750ml, 750ml, 750ml",2250g,Haarborstel,https://skinforskin.nl/products/haarborstel,230 x 70 x 50mm,100g,The perfect wash trio set XXL,https://skinforskin.nl/products/the-perfect-wash-trio-set-xxl,"750ml, 750ml, 750ml",2250g,"Marsdiep 16D, 8321MC, Urk, Nederland",14:00,,"Nederland
België
Duitsland
Frankrijk
Italië
Spanje",https://www.instagram.com/skinforskinnl/,https://www.facebook.com/skinforskinnl/,,https://www.instagram.com/skinforskinnl/,,,Done,5,36,5/5 - Kim Kappert (een jaar geleden): Gister heb ik samen met mijn moeder de duo-behandeling gehad. Dit was de Japanese Headspa treatment en een gezichtsbehandeling. Niet in woorden uit te drukken hoe lekker deze behandelingen waren!💆🏻‍♀️🙏🏼 Je voelt je echt als nieuw. Hele lieve meid,5/5 - Renate (een jaar geleden): Mega fijne en ontspannende Japanese headspa gehad. In de salon heerst een fijne en rustige sfeer. De meiden zijn erg lief en professioneel. Je word helemaal in de watten gelegd. Zeker een aanrader!,"5/5 - Susanne Biedron (2 jaar geleden): Vanmorgen een overheerlijke Japanese Head Spa mogen ervaren - oh zo heerlijk!
Lekker geurende producten en de rustgevende behandeling, ik was even heel ver weg 😊🍀✨🙏
Zeer zeker een aanrader en ik kom ook zeker weer terug.
Van de kortsluiting, die e","Marsdiep 16D, 8321 MC Urk, Nederland",ChIJucWJW32DyEcRR-qEIusgRpk,Complete,,,/5 -   - ,/5 -  - ,/5 -  - ,,https://www.trustpilot.com/review/skinforskin.nl,Complete,TRUE,23,INSTAGRAM,2026-03-06,Yes,36788,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=202294906548029,202294906548029,TRUE,AR01025617643161255937,2026-03-06,Yes,0 Prospect Found,,,,,,,,,,,,,,,,,,,,
63%,Fit In Queen,https://www.fitinqueen.be/ ,12,19,"Fit In Queen scoorde goed op Meta Ads, wat hun zichtbaarheid vergroot, maar het ontbreken van gegevens over SKU's, productafmetingen en gewichten beïnvloedde hun score negatief. Ook het ontbreken van Google Ads en klantbeoordelingen verzwakte hun positie als potentiële klant.",Colageen,2026-03-13 13:14:44,Sportkleding en accessoires voor actieve vrouwen,,,,,,,,,,,,,,,,,,"null, null, null, null",,"Geen specifieke cutoff tijd gevonden. Standaard levering: 7 werkdagen, In stock: 3 werkdagen.",,http://www.instagram.com/fitinqueen,http://www.facebook.com/fitinqueen,,,,,Done,,,,,,,ChIJr8KD1jLtw0cRMTToxw9Wz7E,Failed,,,,,,,https://www.trustpilot.com/review/fitinqueen.be,Failed,TRUE,188,"FACEBOOK, INSTAGRAM, MESSENGER, AUDIENCE_NETWORK, THREADS",2026-03-06,Yes,2323,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=487318168094938,487318168094938,FALSE,search_W19X7MebbAtJLwqzye68NbDz,,,No Prospects,,,,,,,,,,,,,,,,,,,,
71%,Genacol,https://genacol.be/ ,64,90,"Genacol scoorde hoog op productafmetingen en gewicht, wat gunstig is voor logistiek. Echter, het ontbreken van Google Ads en beperkte Google Reviews beïnvloedden de score negatief. Ook ontbreekt er data voor TP Rating en Reviews, wat de beoordeling verder drukte.",Colageen,2026-03-13 13:14:51,Collageensupplementen voor gewrichten en mobiliteit,6,Genacol,https://genacol.be/product/genacol-glucosamine-kuur-3-maanden/,90 x 50 x 50mm,,Genacol,https://genacol.be/product/genacol-glucosamine-kuur-3-maanden/,90 x 50 x 50mm,,Genacol,https://genacol.be/product/genacol-glucosamine-kuur-3-maanden/,,60g,Genacol,https://genacol.be/product/genacol-glucosamine-kuur-3-maanden/,,60g,"Kattebroekstraat 211, 1700, Dilbeek, null",16:00,Elke bestelling geplaatst voor 16u wordt dezelfde werkdag nog verzonden,,,,,,,,Done,5,5,5/5 - Frida (3 maanden geleden): Geen tekst,5/5 - nadia _hoxhaj (3 maanden geleden): Geen tekst,5/5 - Tony Mergan (een jaar geleden): Werken zeer goed zowel vitamines als Arti-M.S.M. werkt uitstekend tegen de pijn ; na breuk van de enkel beginnen nemen . super producten .  Ook een correcte firma om mee te werken .,"Kattebroekstraat 211, 1700 Dilbeek, België",ChIJ7aL9RJHAw0cRJqa1ut9KhI4,Complete,,,,,,,https://www.trustpilot.com/review/genacol.be,Failed,TRUE,31,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, THREADS, MESSENGER",2026-03-06,Yes,36375,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=141471489251123,141471489251123,FALSE,search_b65xNDvgndH2QNLJO48d73q0,,,No Prospects,,,,,,,,,,,,,,,,,,,,
44%,Vital Supply,https://vital-supply.com/ ,32,72,"Vital Supply scoort goed op klanttevredenheid met hoge Google-beoordelingen en veel reviews. Echter, het ontbreken van gegevens over de grootste productgrootte en TP-rating, evenals het niet adverteren op Meta en Google, heeft hun score aanzienlijk verlaagd.",Colageen,2026-03-13 13:14:59,Collageen supplementen en poeders,6,Vital Supply Beauty Collagen,https://vital-supply.com/product/beauty-collageen/,,250g,Collagen & Pea Protein,https://vital-supply.com/product/sport-health-collageen-erwteneiwit/,,750g,Vital Supply Pure Collagen,https://vital-supply.com/product/pure-collageen/,,250g,Collagen & Pea Protein,https://vital-supply.com/product/sport-health-collageen-erwteneiwit/,,750g,"Ringdijk 378, 2983 GS, Ridderkerk, Nederland",22:00,,,https://www.instagram.com/vital_supply_collageen/,,,,,,Done,4.8,256,"5/5 - R van A (7 maanden geleden): 5 sterren, uiteindelijk fijn contact gekregen met Fleur en zij snapte mijn probleem. En super opgelost. Dank Vital-Supply .","5/5 - Gerdy Van Alphen (7 maanden geleden): Enige tijd geleden wilde ik contact opnemen vanwege mijn lopende abonnement.
Mijn mailtjes werden niet beantwoord helaas, maar afgelopen week werd er alsnog contact opgenomen door de vriendelijke medewerkers van Vital Supply.
Door omstandigheden was ","5/5 - M S (een jaar geleden): Snelle levering! Extra voordeel doordat ik een abonnement had afgesloten. Helaas merkte ik dat het product niet helemaal mijn ding was, en ik had net een jaarabonnement afgesloten..
Na contact met de klantenservice kon ik het abonnement toch tussenti","Nijverheidsweg 27 D, 3534 AM Utrecht, Nederland",ChIJmQMOdGNbxkcRp_9Po3kf9e0,Complete,,,,,,,https://www.trustpilot.com/review/vital-supply.com,Failed,FALSE,0,,,,,,289164730947046,TRUE,AR09934734756988059649,2025-06-03,No, Prospect Found,,,,,,,,,,,,,,,,,,,,
50%,Viscollageen.nl,https://www.viscollageen.nl/ ,41,82,"Viscollageen.nl scoorde hoog op het aantal SKU's en Google Ads, wat hun potentieel als klant versterkt. Echter, de afmetingen en het gewicht van hun grootste product zijn niet ideaal voor onze logistieke capaciteiten. Daarnaast ontbreken er belangrijke gegevens over derde partij beoordelingen en advertenties, wat hun score naar beneden haalt.",Colageen,2026-03-13 13:15:05,Natuurlijke collageen voedingssupplementen,25,Algenolie omega 3 capsules,https://www.viscollageen.nl/product/algenolie-omega-3-capsules/,30 x 30 x 100mm,30g,Viscollageen Hydrolysaat 12X,https://www.viscollageen.nl/product/12x-viscollageen-ca-1-jaar-gebruik/,300 x 200 x 100mm,3600g,Algenolie omega 3 capsules,https://www.viscollageen.nl/product/algenolie-omega-3-capsules/,30 x 30 x 100mm,30g,Viscollageen Hydrolysaat 12X,https://www.viscollageen.nl/product/12x-viscollageen-ca-1-jaar-gebruik/,300 x 200 x 100mm,3600g,"null, null, null, null",,Bestelling wordt binnen 2 werkdagen geleverd.,,,,,,,,Done,4.3,6,"5/5 - Estelle Rinck (2 jaar geleden): De basic viscollageen besteld. Een mooi product voor een goede prijs en de smaak is vrij neutraal. Ook fijne service gekregen toen het niet gelukt was om iets toe te voegen. Werd alsnog nagezonden, top!!","3/5 - Karen Verhoef (2 jaar geleden): De verpakking waarin de producten verzonden worden, zijn te groot, ook al vraag je bij de bestelling: ‘Gelieve kleine verzenddoos, het is niet erg als producten strak verpakt worden’.
Vandaag weer een veel te grote doos ontvangen met plastic luchtbub",5/5 - Riekelt Van Urk (2 jaar geleden): Ook verkrijgbaar bij onze praktijk in Urk. (van Urk voeding),"Hogeweg 228, A, 3815 LZ Amersfoort, Nederland",ChIJJ8DEGJiFyEcRmfcQdMpmc3I,Complete,,,,,,,https://www.trustpilot.com/review/viscollageen.nl,Failed,TRUE,11,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",2026-03-06,No,2418,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1117877284985436,1117877284985436,TRUE,AR01710837687637770241,2026-03-06,Yes,No Prospects,,,,,,,,,,,,,,,,,,,,
